Steplength,Stepwidth,Gaitspeed,Class
48.22,11.64,0.85,3
50.94,7.92,1.07,3
55,7.15,1.07,1
49.94,11.53,0.87,1
56.2,12.23,1.39,1
66.08,4.8,1.31,1
54.63,9.17,0.84,3
51.88,3.26,0.96,1
60.92,6.82,0.66,1
67.42,13.22,1.26,1
65.23,8.65,1.04,3
48.82,12.49,0.65,3
73.1,11.66,1.35,3
53.94,10.49,1.12,1
52.81,12.38,0.86,3
71.25,11.83,1.23,1
60.93,11.91,1.14,1
54.06,3.95,1.01,1
53.5,11.01,1.08,1
76.6,12.81,1.58,1
52.19,8.47,0.72,3
68.64,8.08,1.4,1
58.33,11.87,1.05,1
51.25,2.86,1.1,1
60.36,12.19,1.08,3
71.27,10.05,1.53,1
68.08,12.85,1.16,3
52.5,13.55,0.79,3
66.58,9.22,0.97,1
61.36,9.68,1.16,1
59.71,7.95,0.89,3
64.08,12.3,1.09,1
76,9.82,1.2,3
44.63,9.73,0.95,3
58.07,5.28,1.21,3
55.86,6.39,1,1
57.67,10.56,0.99,1
53.19,5.47,1.1,1
63.62,10.82,1.13,1
58.13,10.57,0.98,3
57.8,5.01,1.14,1
56.8,10.61,1.13,1
64.54,8.56,1.26,1
60.29,13.39,1.01,3
53.31,7.73,0.96,3
66.5,18.63,0.91,3
67.62,10.31,1.39,1
62.29,14.58,1.13,3
68.58,12.23,1.45,1
69.75,9.03,1.27,1
48.65,7.97,1.11,1
58.31,9.01,1.08,1
52.82,9.86,0.95,3
63.75,8.74,1.06,1
43.61,12.73,0.68,3
54.07,13.41,0.87,3
67.83,9.81,1.31,3
63.64,9.85,1.21,1
70.18,13.74,1.34,1
69.17,14.42,1.29,1
65.23,8.11,0.79,1
56.27,11.11,0.89,1
59.4,12.92,1.12,1
53.63,9.78,1.03,1
60.31,9.78,1.28,3
59,11.96,0.82,3
65.77,8.18,1.29,3
39.29,16.09,0.54,3
44.55,12.22,0.68,3
35.42,14.02,0.53,3
54.63,8.85,0.86,1
51.53,8.49,0.98,3
56.93,13.75,0.74,1
97.11,8.1,1.96,3
77.09,10.05,1.52,1
66.85,8.9,1.35,1
66.15,8.95,1.03,1
54.13,8.51,1.1,1
62.69,11.08,1.3,1
68.75,8.43,1.1,1
53.53,9.44,1.07,1
43.68,13.04,0.57,3
64.62,8.58,1.19,1
51.82,16.98,0.74,1
70.91,6.92,1.29,1
63.5,13.55,1.13,3
50.78,7.94,0.99,3
52.27,13.66,0.81,1
55.53,10.37,0.81,1
55.53,8.21,0.35,1
62.79,12.73,0.97,3
45.61,6.99,0.47,3
53.55,7.56,0.93,3
62.07,8.76,1,3
49.82,11.48,1.07,3
65.69,8.89,1.28,3
67.67,12.67,1.23,3
62.38,11.38,1.15,3
50.67,15.9,0.9,1
58.87,14.44,1.05,1
61.93,6.71,0.96,3
54.24,9.95,0.98,1
62.67,14.32,1.15,3
50.24,7.7,0.36,1
46.22,12.48,0.77,3
69.67,11.76,1.54,1
52.5,9.11,1.1,3
58,9.84,0.84,3
50.06,11.42,0.42,1
63.57,5.27,1.29,1
57.4,10.29,1.02,3
68.92,7.29,1.45,1
51.29,11.59,0.97,3
36.54,14.9,0.6,3
61.29,7.81,1.2,1
62.36,6.54,1.13,3
63.93,6.61,1.14,1
47.11,8.99,0.82,1
59.57,13.77,1,1
52.81,10.34,1.03,1
64.5,6.19,1.16,1
53,8.53,1.08,3
41.29,20.4,0.68,3
67.58,8.58,1.23,1
61.29,10.57,1.05,1
62.71,14.96,1.13,3
58.64,9.76,1.23,3
59.38,14.91,0.78,1
55.56,10.66,1.02,1
55.67,12.86,0.97,3
66.23,12.12,1.27,1
61.77,16.02,1.01,1
32.67,12.8,0.48,3
57.07,13.24,1.04,3
57.86,13.49,0.94,3
66.08,11.55,1.17,3
70.73,4.45,0.93,1
57.6,10.97,1.19,1
67.42,10.82,1.2,1
57.79,8.34,1.19,3
55.81,13.94,1.08,3
42.55,12.25,0.74,1
49.5,7.81,0.99,3
53.53,10.03,0.92,3
61,10.62,1.41,1
66.5,8.67,1.4,1
47.39,9.03,0.84,3
68.67,9.09,1.15,1
49.67,8.51,0.93,1
57.8,9.11,1.11,1
70.17,8.93,1.15,1
64.1,6.44,1.32,1
68.67,18.25,1.31,1
56.67,12.03,0.94,3
50.61,10.54,0.8,1
60.67,10.08,1.28,1
69.67,7.73,1.48,1
62,15.31,0.51,3
62.08,13.15,0.82,3
71.73,8.92,1.28,1
59,12.35,1.11,3
62.38,6.15,1.15,1
55.93,5.63,1,3
48,8.91,0.86,3
80.63,7.85,1.44,3
41.58,16.17,0.83,3
50.38,10.61,0.91,3
55.71,5.73,1.06,3
54.63,7.3,1.04,1
55.4,14.03,0.92,1
52.75,10.15,0.92,3
50.92,7.45,0.94,1
45.63,11.3,0.69,1
47.67,9.09,0.84,1
66.33,10.08,1.36,1
54.2,7.51,0.98,3
57.93,11.09,1.04,1
69.5,11.99,1.45,1
46.77,8.33,0.97,3
59,8.11,1.09,1
57.67,8.06,1.14,1
40.43,12.5,0.68,3
48.72,11.17,1,3
56.13,5.51,1.08,1
70.17,12.17,1.26,3
65.75,4.87,1.27,1
