Steplength,Stepwidth,Gaitspeed,Class
51.63,10.18,0.92,3
54.63,8.03,1.08,3
49.47,9.48,0.89,1
52.06,6.84,0.92,1
57.93,11.96,1.22,1
68.75,8.24,1.35,1
55.56,8.68,1.1,3
56.33,5.56,1.02,1
61,8.52,1.2,1
70.33,12.34,1.36,1
57.6,10.36,0.95,3
55.31,8.46,1.08,3
71.73,12.95,1.32,3
55.93,8.84,1.17,1
51.82,10.44,0.88,3
67.25,13.02,1.16,1
62.57,11.25,1.11,1
52.56,7.1,0.97,1
56.33,10.96,1.06,1
67.58,13.89,1.25,1
52.25,7.61,0.85,3
63.31,6.27,1.26,1
63.43,15.35,1.19,1
49,7.09,1.01,1
61.43,10.93,1.1,3
66.08,8.34,1.35,1
67.92,12.75,1.36,1
67.5,11.02,1.12,3
68,13.28,1.32,3
67.23,6.74,1.13,1
58.67,9.23,1.03,1
60.08,6.24,0.99,3
66.67,10.63,1.31,1
78,13.54,1.44,3
42.56,2.77,0.83,3
56.73,6.56,1.05,3
55.87,8.88,1.01,1
59.57,12.04,1.07,1
53.53,4.93,1.04,1
64.46,10.9,1.06,1
56.4,9.17,0.88,3
55.38,9.38,1.14,1
56,9.69,1.02,1
65.5,14.24,1.28,1
58.36,12.79,0.9,3
49.47,4.53,0.77,3
59.21,19.74,0.89,3
68.42,9.98,1.38,1
57.13,13.61,0.95,3
68.5,13.38,1.45,1
62.86,10.56,0.99,1
48.12,10.05,1.03,1
61.86,14.44,1.13,1
51.75,12.25,0.84,3
60.43,8.12,0.97,1
44.47,10.72,0.68,3
55.13,20.25,1.12,3
67.5,11.22,1.22,3
70.17,9.83,1.43,1
67,13.52,1.2,1
69.75,11.69,1.26,1
63.92,9.2,1.05,1
60.38,11.89,1.03,1
59.07,10.95,1.04,1
51.88,11.11,0.95,1
58.93,7.82,1.22,3
50.43,14.29,0.94,3
58.53,16.76,0.85,3
63.67,7.45,1.24,3
44,13.45,0.67,3
47.61,11.29,0.72,3
39.73,15.49,0.66,3
54,6.96,0.81,1
51.8,9.19,0.97,3
67.08,14.43,1.18,1
93,9.25,1.72,3
70.7,6.65,1.27,1
67.75,10.95,1.27,1
56.56,9.64,0.8,1
57.4,9.45,1.01,1
62.43,11.25,1.29,1
68.67,7.82,1.07,1
53.38,7.49,0.96,1
44.84,8.89,0.77,3
66.33,11.19,1.12,1
54.44,13.21,0.88,1
64.75,10.36,1.17,1
62.36,14.66,1.08,3
54.31,8.21,1.12,3
54.62,13.46,1.05,1
58.64,9.76,0.88,1
60,10.17,0.98,1
61.79,10.49,1,3
